FID,Id,ORIG_FID,FID_FTroad,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Leng,level,Shape_Le_1,POINT_X,POINT_Y
647,0,1128,180,40971895,5133,primary_link, , ,F,0,0,F,F,0.002221935,1,0.002334062,114.0458338,22.53202248
648,0,1128,180,40971895,5133,primary_link, , ,F,0,0,F,F,0.002221935,1,0.002334062,114.0449195,22.53225911
649,0,1129,110,40933139,5133,primary_link,竹子林立交桥, ,F,0,0,F,F,0.00139338,1,0.00140529,114.012058,22.5316001
650,0,1131,92,40932389,5133,primary_link,竹子林立交桥, ,F,0,0,F,F,0.002237162,1,0.001363844,114.012565,22.53146278
651,0,1133,140,40933470,5131,motorway_link,福田立交, ,F,0,1,T,F,0.003395313,1,0.000981747,114.0147032,22.5325935
652,0,1136,1169,649374608,5115,tertiary,红树林路, ,F,0,0,F,F,0.005803201,1,0.002284716,114.003955,22.53169943
653,0,1136,1169,649374608,5115,tertiary,红树林路, ,F,0,0,F,F,0.005803201,1,0.002284716,114.0041656,22.53075126
654,0,1143,1453,854919706,5115,tertiary,泰然八路, ,B,0,0,F,F,0.008356535,1,0.001613852,114.0172916,22.53266819
655,0,1145,78,34900352,5133,primary_link,滨河彩田立交, ,F,0,0,F,F,0.002089096,1,0.002122913,114.0620817,22.53262223
656,0,1145,78,34900352,5133,primary_link,滨河彩田立交, ,F,0,0,F,F,0.002089096,1,0.002122913,114.062931,22.53253671
657,0,1147,2251,1050511755,5113,primary,新洲路, ,F,0,0,F,F,0.007758187,1,0.001008964,114.0445663,22.53187859
658,0,1149,10,25423324,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.002448828,1,0.002627221,114.0670246,22.53232807
659,0,1149,10,25423324,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.002448828,1,0.002627221,114.0677756,22.532776
660,0,1150,45,25584036,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.002278748,1,0.002315764,114.0688581,22.53286768
661,0,1150,45,25584036,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.002278748,1,0.002315764,114.0693483,22.53219446
662,0,1152,232,40998268,5133,primary_link,金田路辅路, ,F,0,0,F,F,0.003790496,1,0.001190974,114.0579152,22.53201224
663,0,1157,1453,854919706,5115,tertiary,泰然八路, ,B,0,0,F,F,0.008356535,1,0.002068496,114.0188824,22.53293993
664,0,1157,1453,854919706,5115,tertiary,泰然八路, ,B,0,0,F,F,0.008356535,1,0.002068496,114.0198423,22.53310385
665,0,1171,96,40932542,5115,tertiary,福田立交, ,F,0,0,F,F,0.006049453,1,0.001150481,114.0126622,22.53252473
666,0,1172,101,40932653,5131,motorway_link,福田立交, ,F,0,0,F,F,0.002606998,1,0.002606997,114.0128914,22.53289885
667,0,1172,101,40932653,5131,motorway_link,福田立交, ,F,0,0,F,F,0.002606998,1,0.002606997,114.0134978,22.53224314
668,0,1176,1409,853206479,5115,tertiary,福华四路, ,F,0,0,F,F,0.003197869,1,0.00314791,114.0469453,22.53339332
669,0,1176,1409,853206479,5115,tertiary,福华四路, ,F,0,0,F,F,0.003197869,1,0.00314791,114.0459717,22.53338382
670,0,1176,1409,853206479,5115,tertiary,福华四路, ,F,0,0,F,F,0.003197869,1,0.00314791,114.044998,22.53337424
671,0,1178,1128,638856658,5133,primary_link,车公庙立交, ,F,0,0,F,F,0.002041356,1,0.001173958,114.0248585,22.53246561
672,0,1184,229,40998264,5133,primary_link,滨河金田立交, ,F,0,0,F,F,0.001885758,1,0.001951423,114.0582948,22.53255577
673,0,1184,229,40998264,5133,primary_link,滨河金田立交, ,F,0,0,F,F,0.001885758,1,0.001951423,114.058137,22.53350415
674,0,1188,79,34900353,5133,primary_link,滨河彩田立交, ,F,0,0,F,F,0.002399172,1,0.002447558,114.062292,22.53291124
675,0,1188,79,34900353,5133,primary_link,滨河彩田立交, ,F,0,0,F,F,0.002399172,1,0.002447558,114.0617024,22.53216837
676,0,1189,52,26274669,5113,primary,彩田路, ,F,0,0,F,F,0.002795596,1,0.001178562,114.0630098,22.53258712
677,0,1192,1453,854919706,5115,tertiary,泰然八路, ,B,0,0,F,F,0.008356535,1,0.002715718,114.0209214,22.53328826
678,0,1192,1453,854919706,5115,tertiary,泰然八路, ,B,0,0,F,F,0.008356535,1,0.002715718,114.0218812,22.53345223
679,0,1193,1107,636701234,5115,tertiary,泰然七路, ,B,0,0,F,F,0.004254499,1,0.001397437,114.0226599,22.53262711
680,0,1195,669,259898118,5115,tertiary,岗田路, ,F,0,0,F,F,0.00403992,1,0.001540061,114.0605647,22.53261177
681,0,1200,96,40932542,5115,tertiary,福田立交, ,F,0,0,F,F,0.006049453,1,0.001020262,114.0155524,22.53365427
682,0,1203,1423,853337017,5115,tertiary,福华五路, ,F,0,0,F,F,0.003652104,1,0.002364793,114.0595358,22.53358536
683,0,1203,1423,853337017,5115,tertiary,福华五路, ,F,0,0,F,F,0.003652104,1,0.002364793,114.0585633,22.53353752
684,0,1205,1423,853337017,5115,tertiary,福华五路, ,F,0,0,F,F,0.003652104,1,0.001281502,114.0608939,22.53363069
685,0,1212,614,241489273,5133,primary_link, , ,F,0,0,F,F,0.002257886,1,0.001159512,114.051476,22.53187727
686,0,1215,1020,582246450,5133,primary_link,滨河彩田立交, ,F,0,0,F,F,0.002111686,1,0.002124513,114.0631869,22.53268169
687,0,1215,1020,582246450,5133,primary_link,滨河彩田立交, ,F,0,0,F,F,0.002111686,1,0.002124513,114.0630484,22.53364061
688,0,1216,1075,617224846,5115,tertiary,福华五路, ,F,0,0,F,F,0.001107196,1,0.00103809,114.0620623,22.53368409
689,0,1219,1453,854919706,5115,tertiary,泰然八路, ,B,0,0,F,F,0.008356535,1,0.002068542,114.0235983,22.53374557
690,0,1219,1453,854919706,5115,tertiary,泰然八路, ,B,0,0,F,F,0.008356535,1,0.002068542,114.0245578,22.53391132
691,0,1222,858,393889379,5115,tertiary,泰然六路, ,F,0,0,F,F,0.009261936,1,0.002149919,114.0166991,22.53392447
692,0,1222,858,393889379,5115,tertiary,泰然六路, ,F,0,0,F,F,0.009261936,1,0.002149919,114.0157385,22.53376543
693,0,1224,1106,636701233,5115,tertiary,泰然十一路, ,B,0,0,F,F,0.002213689,1,0.001333659,114.0178515,22.53312884
694,0,1226,381,50933378,5114,secondary,福星路, ,B,0,0,F,F,0.009090543,1,0.002435081,114.0747464,22.53299853
695,0,1226,381,50933378,5114,secondary,福星路, ,B,0,0,F,F,0.009090543,1,0.002435081,114.0753546,22.53375782
696,0,1228,2078,996657787,5114,secondary,白石路, ,F,0,0,F,F,0.002339429,1,0.002331598,114.0053045,22.53383071
